2025-07-15 23:26:30.060 | ERROR    | core.logger:log_api_request:128 | API POST /document/upload-file - 422 | {'extra': {'api_request': True, 'endpoint': '/document/upload-file', 'method': 'POST', 'status_code': 422, 'duration': 11.37, 'user_id': 'anonymous', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0'}}
2025-07-15 23:27:13.699 | ERROR    | core.logger:log_api_request:128 | API POST /document/upload-file - 400 | {'extra': {'api_request': True, 'endpoint': '/document/upload-file', 'method': 'POST', 'status_code': 400, 'duration': 0.0, 'user_id': 'anonymous', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.4652'}}
2025-07-15 23:30:09.639 | ERROR    | core.utils.helper:openai_request:104 | ❌ OpenAI request failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable | {'extra': {'request_id': 'openai_1752602409638', 'duration': 0.0, 'model': 'gpt-4o', 'error_type': 'OpenAIError'}}
2025-07-15 23:30:09.640 | ERROR    | core.logger:log_error_with_context:181 | Error occurred: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable | {'extra': {'error_type': 'OpenAIError', 'error_message': 'The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable', 'context': {'component': 'openai_request', 'request_id': 'openai_1752602409638', 'model': 'gpt-4o', 'duration': 0.0}}, 'exception': OpenAIError('The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable')}
2025-07-15 23:30:09.641 | ERROR    | core.utils.helper:openai_request:104 | ❌ OpenAI request failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable | {'extra': {'request_id': 'openai_1752602409639', 'duration': 2.0, 'model': 'gpt-4o', 'error_type': 'OpenAIError'}}
2025-07-15 23:30:09.642 | ERROR    | core.utils.helper:openai_request:104 | ❌ OpenAI request failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable | {'extra': {'request_id': 'openai_1752602409640', 'duration': 2.05, 'model': 'gpt-4o', 'error_type': 'OpenAIError'}}
2025-07-15 23:30:09.642 | ERROR    | core.utils.helper:openai_request:104 | ❌ OpenAI request failed: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable | {'extra': {'request_id': 'openai_1752602409640', 'duration': 2.05, 'model': 'gpt-4o', 'error_type': 'OpenAIError'}}
2025-07-15 23:30:09.644 | ERROR    | core.logger:log_error_with_context:181 | Error occurred: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable | {'extra': {'error_type': 'OpenAIError', 'error_message': 'The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable', 'context': {'component': 'openai_request', 'request_id': 'openai_1752602409640', 'model': 'gpt-4o', 'duration': 2.0499229431152344}}, 'exception': OpenAIError('The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable')}
2025-07-15 23:30:09.643 | ERROR    | core.logger:log_error_with_context:181 | Error occurred: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable | {'extra': {'error_type': 'OpenAIError', 'error_message': 'The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable', 'context': {'component': 'openai_request', 'request_id': 'openai_1752602409640', 'model': 'gpt-4o', 'duration': 2.0499229431152344}}, 'exception': OpenAIError('The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable')}
2025-07-15 23:30:09.643 | ERROR    | core.logger:log_error_with_context:181 | Error occurred: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable | {'extra': {'error_type': 'OpenAIError', 'error_message': 'The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable', 'context': {'component': 'openai_request', 'request_id': 'openai_1752602409639', 'model': 'gpt-4o', 'duration': 1.9996166229248047}}, 'exception': OpenAIError('The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable')}
2025-07-15 23:30:10.050 | ERROR    | core.ollama_setup.connector:make_ollama_call:78 | ❌ Ollama call failed: name 'configuration' is not defined | {'extra': {'model': 'deepseek-r1:7b', 'duration': 0.0, 'prompt_length': 7636, 'error_type': 'NameError'}}
2025-07-15 23:30:10.051 | ERROR    | core.logger:log_error_with_context:181 | Error occurred: name 'configuration' is not defined | {'extra': {'error_type': 'NameError', 'error_message': "name 'configuration' is not defined", 'context': {'component': 'ollama_call', 'model': 'deepseek-r1:7b', 'duration': 0.0, 'prompt_length': 7636}}, 'exception': NameError("name 'configuration' is not defined")}
2025-07-15 23:30:10.555 | ERROR    | core.ollama_setup.connector:make_ollama_call:78 | ❌ Ollama call failed: name 'configuration' is not defined | {'extra': {'model': 'deepseek-r1:7b', 'duration': 0.0, 'prompt_length': 7684, 'error_type': 'NameError'}}
2025-07-15 23:30:10.556 | ERROR    | core.logger:log_error_with_context:181 | Error occurred: name 'configuration' is not defined | {'extra': {'error_type': 'NameError', 'error_message': "name 'configuration' is not defined", 'context': {'component': 'ollama_call', 'model': 'deepseek-r1:7b', 'duration': 0.0, 'prompt_length': 7684}}, 'exception': NameError("name 'configuration' is not defined")}
2025-07-15 23:30:11.062 | ERROR    | core.ollama_setup.connector:make_ollama_call:78 | ❌ Ollama call failed: name 'configuration' is not defined | {'extra': {'model': 'deepseek-r1:7b', 'duration': 1.01, 'prompt_length': 7624, 'error_type': 'NameError'}}
2025-07-15 23:30:11.063 | ERROR    | core.logger:log_error_with_context:181 | Error occurred: name 'configuration' is not defined | {'extra': {'error_type': 'NameError', 'error_message': "name 'configuration' is not defined", 'context': {'component': 'ollama_call', 'model': 'deepseek-r1:7b', 'duration': 1.0080337524414062, 'prompt_length': 7624}}, 'exception': NameError("name 'configuration' is not defined")}
2025-07-15 23:30:11.573 | ERROR    | core.ollama_setup.connector:make_ollama_call:78 | ❌ Ollama call failed: name 'configuration' is not defined | {'extra': {'model': 'deepseek-r1:7b', 'duration': 1.0, 'prompt_length': 7670, 'error_type': 'NameError'}}
2025-07-15 23:30:11.574 | ERROR    | core.logger:log_error_with_context:181 | Error occurred: name 'configuration' is not defined | {'extra': {'error_type': 'NameError', 'error_message': "name 'configuration' is not defined", 'context': {'component': 'ollama_call', 'model': 'deepseek-r1:7b', 'duration': 1.0004043579101562, 'prompt_length': 7670}}, 'exception': NameError("name 'configuration' is not defined")}
2025-07-15 23:30:12.082 | ERROR    | core.ollama_setup.connector:make_ollama_call:78 | ❌ Ollama call failed: name 'configuration' is not defined | {'extra': {'model': 'deepseek-r1:7b', 'duration': 0.0, 'prompt_length': 7392, 'error_type': 'NameError'}}
2025-07-15 23:30:12.082 | ERROR    | core.logger:log_error_with_context:181 | Error occurred: name 'configuration' is not defined | {'extra': {'error_type': 'NameError', 'error_message': "name 'configuration' is not defined", 'context': {'component': 'ollama_call', 'model': 'deepseek-r1:7b', 'duration': 0.0, 'prompt_length': 7392}}, 'exception': NameError("name 'configuration' is not defined")}
2025-07-15 23:30:12.588 | ERROR    | core.ollama_setup.connector:make_ollama_call:78 | ❌ Ollama call failed: name 'configuration' is not defined | {'extra': {'model': 'deepseek-r1:7b', 'duration': 0.0, 'prompt_length': 7534, 'error_type': 'NameError'}}
2025-07-15 23:30:12.589 | ERROR    | core.logger:log_error_with_context:181 | Error occurred: name 'configuration' is not defined | {'extra': {'error_type': 'NameError', 'error_message': "name 'configuration' is not defined", 'context': {'component': 'ollama_call', 'model': 'deepseek-r1:7b', 'duration': 0.0, 'prompt_length': 7534}}, 'exception': NameError("name 'configuration' is not defined")}
2025-07-15 23:30:13.094 | ERROR    | core.ollama_setup.connector:make_ollama_call:78 | ❌ Ollama call failed: name 'configuration' is not defined | {'extra': {'model': 'deepseek-r1:7b', 'duration': 1.0, 'prompt_length': 7381, 'error_type': 'NameError'}}
